"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.860366958E0,4.215612982E-1,-1.598563344E-1,1.677297783E0,1.736835004E0
2.870336958E0,4.934973997E-1,1.947673181E-1,7.210786343E-1,8.952253283E-1
2.880306958E0,5.658515771E-1,3.937779607E-1,1.340105814E-1,7.022876373E-1
2.890277958E0,5.953744613E-1,2.509291667E-1,-1.508330208E-1,6.634657459E-1
2.900247958E0,6.270197386E-1,-2.144452088E-1,-3.637178636E-1,7.559306743E-1
2.910217958E0,7.338948539E-1,-7.113165615E-1,-6.196820676E-1,1.195231681E0
2.920187958E0,9.330209059E-1,-1.086362236E0,-7.022137624E-1,1.594934195E0
2.930157958E0,1.272782288E0,-1.328923014E0,-7.148460871E-1,1.974086132E0
2.940127958E0,1.590268849E0,-1.504821148E0,-4.347627032E-1,2.232142537E0
2.950098958E0,1.938519512E0,-1.597998283E0,-3.211565655E-1,2.532705658E0
2.960068958E0,2.195334778E0,-1.461832126E0,-6.262578464E-1,2.710838771E0
2.970038958E0,2.370369570E0,-1.283650947E0,-1.190198992E0,2.946690566E0
2.980008958E0,2.448414697E0,-1.173346585E0,-1.914473130E0,3.322150523E0
2.989978958E0,2.294236191E0,-1.171196345E0,-2.719592040E0,3.745851231E0
2.999948958E0,1.878258692E0,-1.315085870E0,-3.568207803E0,4.241392871E0
3.009919958E0,1.556416102E0,-1.520792525E0,-4.272173976E0,4.794445898E0
3.019889958E0,1.461576603E0,-1.681711847E0,-4.787004358E0,5.280129887E0
3.029859958E0,1.793616006E0,-1.386125447E0,-4.963260487E0,5.456405117E0
3.039829958E0,2.171157711E0,-9.674348398E-1,-5.074555805E0,5.603657073E0
3.049799958E0,2.087583311E0,-8.564964943E-1,-5.470517555E0,5.917613763E0
3.059769958E0,1.826200346E0,-9.445194554E-1,-5.902526219E0,6.250355228E0
3.069740958E0,1.616642277E0,-1.115925027E0,-6.164591993E0,6.470008915E0
3.079710958E0,1.291267384E0,-1.363500670E0,-6.405003773E0,6.674622002E0
3.089680958E0,9.396838081E-1,-1.566750032E0,-6.797405738E0,7.038638795E0
3.099650958E0,7.971507637E-1,-1.528708924E0,-7.459183665E0,7.655835765E0
3.109620958E0,1.159924594E0,-1.189392295E0,-8.146288807E0,8.313970196E0
